pair,side,type,quantity,price
AVAXTRY,SELL,LIMIT,1.56,239.1
AVAXTRY,SELL,LIMIT,1.56,236.1
AVAXTRY,SELL,LIMIT,1.56,233.2
AVAXTRY,SELL,LIMIT,1.56,230.3
AVAXTRY,SELL,LIMIT,1.56,227.5
AVAXTRY,SELL,LIMIT,1.56,224.7
AVAXTRY,SELL,LIMIT,1.56,221.9
AVAXTRY,SELL,LIMIT,1.56,219.2
AVAXTRY,SELL,LIMIT,1.56,216.5
AVAXTRY,SELL,LIMIT,1.56,213.8
AVAXTRY,SELL,LIMIT,1.56,211.1
AVAXTRY,SELL,LIMIT,1.56,208.5
AVAXTRY,SELL,LIMIT,1.56,206
AVAXTRY,SELL,LIMIT,1.56,203.4
AVAXTRY,SELL,LIMIT,1.56,200.9
AVAXTRY,SELL,LIMIT,1.56,198.4
AVAXTRY,SELL,LIMIT,1.56,196
AVAXTRY,SELL,LIMIT,1.56,193.6
AVAXTRY,SELL,LIMIT,1.56,191.2
AVAXTRY,SELL,LIMIT,1.56,188.8
AVAXTRY,SELL,LIMIT,1.56,186.5
AVAXTRY,SELL,LIMIT,1.56,184.2
AVAXTRY,SELL,LIMIT,1.56,181.9
AVAXTRY,SELL,LIMIT,1.56,179.7
AVAXTRY,SELL,LIMIT,1.56,177.4
AVAXTRY,SELL,LIMIT,1.56,175.3
AVAXTRY,SELL,LIMIT,1.56,173.1
AVAXTRY,SELL,LIMIT,1.56,171
AVAXTRY,SELL,LIMIT,1.56,168.8
AVAXTRY,SELL,LIMIT,1.56,166.8
AVAXTRY,SELL,LIMIT,1.56,164.7
AVAXTRY,SELL,LIMIT,1.56,162.7
AVAXTRY,SELL,LIMIT,1.56,160.7
AVAXTRY,SELL,LIMIT,1.56,158.7
AVAXTRY,BUY,LIMIT,1.64,152.7
AVAXTRY,BUY,LIMIT,1.64,148.8
AVAXTRY,BUY,LIMIT,1.64,145
AVAXTRY,BUY,LIMIT,1.64,141.3
AVAXTRY,BUY,LIMIT,1.64,137.7
AVAXTRY,BUY,LIMIT,1.64,134.2
AVAXTRY,BUY,LIMIT,1.64,130.8
AVAXTRY,BUY,LIMIT,1.64,127.5
AVAXTRY,BUY,LIMIT,1.64,124.2
AVAXTRY,BUY,LIMIT,1.64,121.1
CDTBTC,SELL,LIMIT,1555,0.00000058
CDTBTC,SELL,LIMIT,1555,0.00000058
CDTBTC,SELL,LIMIT,1555,0.00000057
CDTBTC,BUY,LIMIT,1455,0.00000056
CDTBTC,BUY,LIMIT,1455,0.00000056
CDTBTC,BUY,LIMIT,1455,0.00000055
CDTBTC,BUY,LIMIT,1455,0.00000055
CDTBTC,BUY,LIMIT,1455,0.00000054
CDTBTC,BUY,LIMIT,1455,0.00000054
CDTBTC,BUY,LIMIT,1455,0.00000053
CDTBTC,BUY,LIMIT,1455,0.00000053
CDTBTC,BUY,LIMIT,1455,0.00000052
CDTBTC,BUY,LIMIT,1455,0.00000052
CDTBTC,BUY,LIMIT,1455,0.00000051
CDTBTC,BUY,LIMIT,1455,0.00000051
CDTBTC,BUY,LIMIT,1455,0.0000005
CDTBTC,BUY,LIMIT,1455,0.0000005
CDTBTC,BUY,LIMIT,1455,0.00000049
CDTBTC,BUY,LIMIT,1455,0.00000049
CDTBTC,BUY,LIMIT,1455,0.00000049
CDTBTC,BUY,LIMIT,1455,0.00000048
CFXUSDT,SELL,LIMIT,63.115,0.483
CFXUSDT,SELL,LIMIT,63.115,0.469
CFXUSDT,SELL,LIMIT,63.115,0.454
CFXUSDT,SELL,LIMIT,63.115,0.441
CFXUSDT,BUY,LIMIT,54.057,0.42
CFXUSDT,BUY,LIMIT,54.057,0.412
CFXUSDT,BUY,LIMIT,54.057,0.405
CFXUSDT,BUY,LIMIT,54.057,0.398
CFXUSDT,BUY,LIMIT,54.057,0.391
CFXUSDT,BUY,LIMIT,54.057,0.384
CFXUSDT,BUY,LIMIT,54.057,0.377
CFXUSDT,BUY,LIMIT,54.057,0.371
CFXUSDT,BUY,LIMIT,54.057,0.364
CFXUSDT,BUY,LIMIT,54.057,0.358
CFXUSDT,BUY,LIMIT,54.057,0.352
CFXUSDT,BUY,LIMIT,54.057,0.346
CFXUSDT,BUY,LIMIT,54.057,0.34
CFXUSDT,BUY,LIMIT,54.057,0.334
CFXUSDT,BUY,LIMIT,54.057,0.328
CFXUSDT,BUY,LIMIT,54.057,0.322
CFXUSDT,BUY,LIMIT,54.057,0.316
CFXUSDT,BUY,LIMIT,54.057,0.311
CFXUSDT,BUY,LIMIT,54.057,0.306
CFXUSDT,BUY,LIMIT,54.057,0.3
CFXUSDT,BUY,LIMIT,54.057,0.295
CFXUSDT,BUY,LIMIT,54.057,0.29
CFXUSDT,BUY,LIMIT,54.057,0.285
FRONTBUSD,SELL,LIMIT,13.26,4.3642
FRONTBUSD,SELL,LIMIT,13.26,4.1984
FRONTBUSD,SELL,LIMIT,13.26,4.0388
FRONTBUSD,SELL,LIMIT,13.26,3.8854
FRONTBUSD,SELL,LIMIT,13.26,3.7377
FRONTBUSD,SELL,LIMIT,13.26,3.5957
FRONTBUSD,SELL,LIMIT,13.26,3.4591
FRONTBUSD,SELL,LIMIT,13.26,3.3276
FRONTBUSD,SELL,LIMIT,13.26,3.2012
FRONTBUSD,SELL,LIMIT,13.26,3.0795
FRONTBUSD,SELL,LIMIT,13.26,2.9625
FRONTBUSD,SELL,LIMIT,13.26,2.85
FRONTBUSD,SELL,LIMIT,13.26,2.7417
FRONTBUSD,SELL,LIMIT,13.26,2.6375
FRONTBUSD,SELL,LIMIT,13.26,2.5373
FRONTBUSD,SELL,LIMIT,13.26,2.4409
FRONTBUSD,SELL,LIMIT,13.26,2.3481
FRONTBUSD,SELL,LIMIT,13.26,2.2589
FRONTBUSD,SELL,LIMIT,13.26,2.173
FRONTBUSD,SELL,LIMIT,13.26,2.0905
FRONTBUSD,SELL,LIMIT,13.26,2.011
FRONTBUSD,SELL,LIMIT,13.26,1.9346
FRONTBUSD,SELL,LIMIT,13.26,1.8611
FRONTBUSD,SELL,LIMIT,13.26,1.7904
FRONTBUSD,SELL,LIMIT,13.26,1.7224
FRONTBUSD,SELL,LIMIT,13.26,1.6569
FRONTBUSD,SELL,LIMIT,13.26,1.594
FRONTBUSD,SELL,LIMIT,13.26,1.5334
FRONTBUSD,SELL,LIMIT,13.26,1.4751
FRONTBUSD,SELL,LIMIT,13.26,1.4191
FRONTBUSD,SELL,LIMIT,13.26,1.3652
FRONTBUSD,SELL,LIMIT,13.26,1.3133
FRONTBUSD,SELL,LIMIT,13.26,1.2634
FRONTBUSD,SELL,LIMIT,13.26,1.2154
FRONTBUSD,BUY,LIMIT,15.44,0.8822
FRONTBUSD,BUY,LIMIT,15.44,0.6656
RLCETH,SELL,LIMIT,10.62,0.002944
RLCETH,SELL,LIMIT,10.62,0.002891
RLCETH,SELL,LIMIT,10.62,0.002838
RLCETH,SELL,LIMIT,10.62,0.002787
RLCETH,SELL,LIMIT,10.62,0.002736
RLCETH,SELL,LIMIT,10.62,0.002686
RLCETH,SELL,LIMIT,10.62,0.002638
RLCETH,SELL,LIMIT,10.62,0.00259
RLCETH,SELL,LIMIT,10.62,0.002543
RLCETH,SELL,LIMIT,10.62,0.002496
RLCETH,SELL,LIMIT,10.62,0.002451
RLCETH,SELL,LIMIT,10.62,0.002407
RLCETH,SELL,LIMIT,10.62,0.002363
RLCETH,SELL,LIMIT,10.62,0.00232
RLCETH,SELL,LIMIT,10.62,0.002278
RLCETH,SELL,LIMIT,10.62,0.002237
RLCETH,SELL,LIMIT,10.62,0.002196
RLCETH,SELL,LIMIT,10.62,0.002156
RLCETH,SELL,LIMIT,10.62,0.002117
RLCETH,SELL,LIMIT,10.62,0.002078
RLCETH,SELL,LIMIT,10.62,0.002041
RLCETH,SELL,LIMIT,10.62,0.002004
RLCETH,SELL,LIMIT,10.62,0.001967
RLCETH,SELL,LIMIT,10.62,0.001932
RLCETH,SELL,LIMIT,10.62,0.001896
RLCETH,SELL,LIMIT,10.62,0.001862
RLCETH,SELL,LIMIT,10.62,0.001828
RLCETH,SELL,LIMIT,10.62,0.001795
RLCETH,BUY,LIMIT,10.29,0.001695
RLCETH,BUY,LIMIT,10.29,0.001629
RLCETH,BUY,LIMIT,10.29,0.001567
RLCETH,BUY,LIMIT,10.29,0.001506
RLCETH,BUY,LIMIT,10.29,0.001448
RLCETH,BUY,LIMIT,10.29,0.001393
RLCETH,BUY,LIMIT,10.29,0.001339
RLCETH,BUY,LIMIT,10.29,0.001287
RLCETH,BUY,LIMIT,10.29,0.001238
RLCETH,BUY,LIMIT,10.29,0.00119
RLCETH,BUY,LIMIT,10.29,0.001144
RLCETH,BUY,LIMIT,10.29,0.0011
RLCETH,BUY,LIMIT,10.29,0.001058
RLCETH,BUY,LIMIT,10.29,0.001017
RLCETH,BUY,LIMIT,10.29,0.000978
RLCETH,BUY,LIMIT,10.29,0.000941
RLCETH,BUY,LIMIT,10.29,0.000904
RLCETH,BUY,LIMIT,10.29,0.00087
RLCETH,BUY,LIMIT,10.29,0.000836
RLCETH,BUY,LIMIT,10.29,0.000804
RLCETH,BUY,LIMIT,10.29,0.000773
RLCETH,BUY,LIMIT,10.29,0.000743
RLCETH,BUY,LIMIT,10.29,0.000715
RLCETH,BUY,LIMIT,10.29,0.000687
RLCETH,BUY,LIMIT,10.29,0.000661
RLCETH,BUY,LIMIT,10.29,0.000635
RLCETH,BUY,LIMIT,10.29,0.000611
RLCETH,BUY,LIMIT,10.29,0.000587
